Unnamed: 0,title,rating,bio,salary,job,founded_in,field,other
0,TCS,3.3,IT Services & Consulting | Ahmedabad +438 other locations,970000.0,2500.0,1968 (58 yrs old),IT Services & Consulting , Ahmedabad +438 other locations
1,Accenture,3.7,IT Services & Consulting | Ahmedabad +254 other locations,650000.0,34700.0,1989 (37 yrs old),IT Services & Consulting , Ahmedabad +254 other locations
2,Wipro,3.6,IT Services & Consulting | Ahmedabad +369 other locations,470000.0,6700.0,1945 (81 yrs old),IT Services & Consulting , Ahmedabad +369 other locations
3,Cognizant,3.6,IT Services & Consulting | Ahmedabad +228 other locations,590000.0,773.0,1994 (32 yrs old),IT Services & Consulting , Ahmedabad +228 other locations
4,Capgemini,3.7,IT Services & Consulting | Ahmedabad +184 other locations,480000.0,1800.0,1967 (59 yrs old),IT Services & Consulting , Ahmedabad +184 other locations
5,HDFC Bank,3.8,Banking | Ahmedabad +1819 other locations,150000.0,253.0,1994 (32 yrs old),Banking , Ahmedabad +1819 other locations
6,Infosys,3.5,IT Services & Consulting | Ahmedabad +246 other locations,520000.0,2500.0,,IT Services & Consulting , Ahmedabad +246 other locations
7,ICICI Bank,4.0,Banking | Ahmedabad +1436 other locations,150000.0,15.0,1994 (32 yrs old),Banking , Ahmedabad +1436 other locations
8,HCLTech,3.4,IT Services & Consulting | Ahmedabad +226 other locations,370000.0,181.0,,IT Services & Consulting , Ahmedabad +226 other locations
9,Tech Mahindra,3.4,IT Services & Consulting | Ahmedabad +331 other locations,280000.0,369.0,1986 (40 yrs old),IT Services & Consulting , Ahmedabad +331 other locations
10,Genpact,3.6,IT Services & Consulting | Ahmedabad +182 other locations,230000.0,646.0,1997 (29 yrs old),IT Services & Consulting , Ahmedabad +182 other locations
11,Teleperformance,3.8,BPO | Ahmedabad +253 other locations,95600.0,1200.0,1978 (48 yrs old),BPO , Ahmedabad +253 other locations
12,Axis Bank,3.6,Banking | Ahmedabad +1499 other locations,100000.0,232.0,1993 (33 yrs old),Banking , Ahmedabad +1499 other locations
13,Jio,4.4,Telecom | Ahmedabad +1882 other locations,62200.0,3.0,2018 (8 yrs old),Telecom , Ahmedabad +1882 other locations
14,Concentrix Corporation,3.6,BPO | Ahmedabad +179 other locations,130000.0,80.0,1983 (43 yrs old),BPO , Ahmedabad +179 other locations
15,Amazon,3.9,Internet | Ahmedabad +518 other locations,150000.0,1500.0,1994 (32 yrs old),Internet , Ahmedabad +518 other locations
16,iEnergizer,4.6,BPO | Ahmedabad +51 other locations,23900.0,74.0,,BPO , Ahmedabad +51 other locations
17,Reliance Retail,3.9,Retail | Ahmedabad +1150 other locations,74900.0,135.0,2006 (20 yrs old),Retail , Ahmedabad +1150 other locations
18,LTIMindtree,3.6,IT Services & Consulting | Ahmedabad +146 other locations,190000.0,461.0,1997 (29 yrs old),IT Services & Consulting , Ahmedabad +146 other locations
19,IBM,3.9,IT Services & Consulting | Ahmedabad +160 other locations,210000.0,789.0,1911 (115 yrs old),IT Services & Consulting , Ahmedabad +160 other locations
20,HDB Financial Services,3.9,NBFC | Ahmedabad +1089 other locations,50100.0,183.0,2007 (19 yrs old),NBFC , Ahmedabad +1089 other locations
21,Larsen & Toubro Limited,3.9,Engineering & Construction | Ahmedabad +754 other locations,74200.0,169.0,1938 (88 yrs old),Engineering & Construction , Ahmedabad +754 other locations
22,Deloitte,3.7,Management Consulting | Ahmedabad +187 other locations,250000.0,1300.0,1845 (181 yrs old),Management Consulting , Ahmedabad +187 other locations
23,Kotak Mahindra Bank,3.6,Banking | Ahmedabad +681 other locations,86300.0,59.0,,Banking , Ahmedabad +681 other locations
24,Reliance Industries,4.0,Oil & Gas | Ahmedabad +812 other locations,97800.0,181.0,,Oil & Gas , Ahmedabad +812 other locations
25,Vodafone Idea,3.9,Telecom | Ahmedabad +703 other locations,50400.0,48.0,2018 (8 yrs old),Telecom , Ahmedabad +703 other locations
26,Bharti Airtel,3.8,Telecom | Ahmedabad +789 other locations,49100.0,116.0,1952 (74 yrs old),Telecom , Ahmedabad +789 other locations
27,BYJU'S,3.2,EdTech | Ahmedabad +321 other locations,53500.0,181.0,2011 (15 yrs old),EdTech , Ahmedabad +321 other locations
28,WNS,3.3,IT Services & Consulting | Ahmedabad +65 other locations,70000.0,80.0,1996 (30 yrs old),IT Services & Consulting , Ahmedabad +65 other locations
29,Tata Motors,4.1,Automobile | Ahmedabad +505 other locations,43200.0,171.0,1945 (81 yrs old),Automobile , Ahmedabad +505 other locations
30,IDFC FIRST Bank,3.9,Banking | Ahmedabad +710 other locations,48700.0,29.0,,Banking , Ahmedabad +710 other locations
31,Ernst & Young,3.4,Management Consulting | Ahmedabad +131 other locations,140000.0,2000.0,2002 (24 yrs old),Management Consulting , Ahmedabad +131 other locations
32,IndusInd Bank,3.4,Banking | Ahmedabad +786 other locations,51800.0,141.0,,Banking , Ahmedabad +786 other locations
33,AU Small Finance Bank,3.9,Banking | Ahmedabad +782 other locations,28500.0,30.0,1996 (30 yrs old),Banking , Ahmedabad +782 other locations
34,Flipkart,3.9,Internet | Ahmedabad +559 other locations,53700.0,177.0,2007 (19 yrs old),Internet , Ahmedabad +559 other locations
35,Bajaj Finserv,3.9,NBFC | Ahmedabad +1160 other locations,30200.0,4.0,2007 (19 yrs old),NBFC , Ahmedabad +1160 other locations
36,Muthoot FinCorp,4.5,NBFC | Ahmedabad +1087 other locations,8800.0,45.0,,NBFC , Ahmedabad +1087 other locations
37,PwC,3.3,Management Consulting | Ahmedabad +132 other locations,120000.0,822.0,1880 (146 yrs old),Management Consulting , Ahmedabad +132 other locations
38,Infosys BPM,3.5,BPO | Ahmedabad +95 other locations,97800.0,181.0,2002 (24 yrs old),BPO , Ahmedabad +95 other locations
39,Mahindra & Mahindra,4.0,Automobile | Ahmedabad +561 other locations,39500.0,1.0,1945 (81 yrs old),Automobile , Ahmedabad +561 other locations
